dataset,split,sequence,num_frames,has_gt,num_anom_frames,has_pixel_mask,num_pixel_masks
Ped1,Train,Train001,200,False,0,False,0
Ped1,Train,Train002,200,False,0,False,0
Ped1,Train,Train003,200,False,0,False,0
Ped1,Train,Train004,200,False,0,False,0
Ped1,Train,Train005,200,False,0,False,0
Ped1,Train,Train006,200,False,0,False,0
Ped1,Train,Train007,200,False,0,False,0
Ped1,Train,Train008,200,False,0,False,0
Ped1,Train,Train009,200,False,0,False,0
Ped1,Train,Train010,200,False,0,False,0
Ped1,Train,Train011,200,False,0,False,0
Ped1,Train,Train012,200,False,0,False,0
Ped1,Train,Train013,200,False,0,False,0
Ped1,Train,Train014,200,False,0,False,0
Ped1,Train,Train015,200,False,0,False,0
Ped1,Train,Train016,200,False,0,False,0
Ped1,Train,Train017,200,False,0,False,0
Ped1,Train,Train018,200,False,0,False,0
Ped1,Train,Train019,200,False,0,False,0
Ped1,Train,Train020,200,False,0,False,0
Ped1,Train,Train021,200,False,0,False,0
Ped1,Train,Train022,200,False,0,False,0
Ped1,Train,Train023,200,False,0,False,0
Ped1,Train,Train024,200,False,0,False,0
Ped1,Train,Train025,200,False,0,False,0
Ped1,Train,Train026,200,False,0,False,0
Ped1,Train,Train027,200,False,0,False,0
Ped1,Train,Train028,200,False,0,False,0
Ped1,Train,Train029,200,False,0,False,0
Ped1,Train,Train030,200,False,0,False,0
Ped1,Train,Train031,200,False,0,False,0
Ped1,Train,Train032,200,False,0,False,0
Ped1,Train,Train033,200,False,0,False,0
Ped1,Train,Train034,200,False,0,False,0
Ped1,Test,Test001,200,True,93,False,0
Ped1,Test,Test002,200,True,126,False,0
Ped1,Test,Test003,200,True,110,True,200
Ped1,Test,Test004,200,True,138,True,200
Ped1,Test,Test005,200,True,147,False,0
Ped1,Test,Test006,200,True,191,False,0
Ped1,Test,Test007,200,True,175,False,0
Ped1,Test,Test008,200,True,94,False,0
Ped1,Test,Test009,200,True,48,False,0
Ped1,Test,Test010,200,True,140,False,0
Ped1,Test,Test011,200,True,96,False,0
Ped1,Test,Test012,200,True,71,False,0
Ped1,Test,Test013,200,True,156,False,0
Ped1,Test,Test014,200,True,200,True,200
Ped1,Test,Test015,200,True,63,False,0
Ped1,Test,Test016,200,True,78,False,0
Ped1,Test,Test017,200,True,47,False,0
Ped1,Test,Test018,200,True,67,True,200
Ped1,Test,Test019,200,True,75,True,200
Ped1,Test,Test020,200,True,131,False,0
Ped1,Test,Test021,200,True,170,True,200
Ped1,Test,Test022,200,True,92,True,200
Ped1,Test,Test023,200,True,158,True,200
Ped1,Test,Test024,200,True,122,True,200
Ped1,Test,Test025,200,True,96,False,0
Ped1,Test,Test026,200,True,68,False,0
Ped1,Test,Test027,200,True,113,False,0
Ped1,Test,Test028,200,True,96,False,0
Ped1,Test,Test029,200,True,84,False,0
Ped1,Test,Test030,200,True,26,False,0
Ped1,Test,Test031,200,True,180,False,0
Ped1,Test,Test032,200,True,103,True,200
Ped1,Test,Test033,200,True,161,False,0
Ped1,Test,Test034,200,True,121,False,0
Ped1,Test,Test035,200,True,115,False,0
Ped1,Test,Test036,200,True,94,False,0
Ped2,Train,Train001,120,False,0,False,0
Ped2,Train,Train002,150,False,0,False,0
Ped2,Train,Train003,150,False,0,False,0
Ped2,Train,Train004,180,False,0,False,0
Ped2,Train,Train005,180,False,0,False,0
Ped2,Train,Train006,150,False,0,False,0
Ped2,Train,Train007,150,False,0,False,0
Ped2,Train,Train008,120,False,0,False,0
Ped2,Train,Train009,180,False,0,False,0
Ped2,Train,Train010,180,False,0,False,0
Ped2,Train,Train011,180,False,0,False,0
Ped2,Train,Train012,180,False,0,False,0
Ped2,Train,Train013,180,False,0,False,0
Ped2,Train,Train014,150,False,0,False,0
Ped2,Train,Train015,150,False,0,False,0
Ped2,Train,Train016,150,False,0,False,0
Ped2,Test,Test001,180,True,120,True,180
Ped2,Test,Test002,180,True,86,True,180
Ped2,Test,Test003,150,True,146,True,150
Ped2,Test,Test004,180,True,150,True,180
Ped2,Test,Test005,150,True,129,True,150
Ped2,Test,Test006,180,True,159,True,180
Ped2,Test,Test007,180,True,135,True,180
Ped2,Test,Test008,180,True,180,True,180
Ped2,Test,Test009,120,True,120,True,120
Ped2,Test,Test010,150,True,150,True,150
Ped2,Test,Test011,180,True,180,True,180
Ped2,Test,Test012,180,True,93,True,180
